step,customer,age,gender,merchant,category,amount,fraud,log_amount,cust_tx_count_1d,cust_tx_count_7d,cust_median_amt_7d,amount_over_cust_median_7d,cust_unique_merchants_30d,first_time_pair,time_since_last_pair_tx,mch_tx_count_1d,mch_unique_customers_7d
30,'C918296398','2','F','M348934600','es_transportation',12.07,0,2.570319527636131,24,29,19.54,0.6177069510199842,1,0,1.0,24,169
30,'C672794326','3','F','M348934600','es_transportation',32.53,0,3.512440560478137,24,29,19.34,1.682005335054118,3,0,1.0,24,169
30,'C963460752','3','M','M923029380','es_home',68.6,0,4.242764567340374,1,1,68.6,0.9999998542274264,1,1,,24,99
30,'C1467497219','6','F','M1823072687','es_transportation',42.47,0,3.772071045000701,24,30,25.555,1.661905043277228,3,0,1.0,24,169
30,'C722399783','4','M','M348934600','es_transportation',22.21,0,3.144583220286346,24,28,31.08,0.714607234682357,5,0,1.0,24,169
30,'C408690006','1','M','M1823072687','es_transportation',19.46,0,3.018471760523481,24,29,24.81,0.784360828552669,2,0,2.0,24,169
30,'C1792734476','1','F','M1823072687','es_transportation',52.35,0,3.976873977747762,24,30,30.33,1.726013278597666,6,0,1.0,24,169
30,'C563092648','6','F','M348934600','es_transportation',28.44,0,3.382354293860676,24,30,35.665,0.7974202166212767,9,1,,24,169
30,'C382331420','4','F','M78078399','es_wellnessandbeauty',315.48,1,5.757260048434348,13,13,26.7,11.81572591171314,4,1,,24,110
30,'C574289698','3','M','M85975013','es_food',4.82,0,1.761300261743346,24,31,23.25,0.20731173879065,5,0,9.0,24,163
30,'C1486069778','4','F','M348934600','es_transportation',24.41,0,3.235142797332073,8,8,60.48999999999999,0.403537708127342,4,0,1.0,24,169
30,'C74848504','3','F','M1823072687','es_transportation',26.66,0,3.319987326236612,24,27,23.62,1.128704009862824,3,0,1.0,24,169
30,'C1679796651','4','M','M348934600','es_transportation',18.74,0,2.982647034005335,12,12,25.02,0.7490004999998001,2,0,2.0,24,169
30,'C898690183','5','F','M348934600','es_transportation',15.87,0,2.825536896557877,3,3,184.93,0.08581625015864108,3,1,,24,169
30,'C1129737137','6','M','M348934600','es_transportation',8.13,0,2.211565694606877,24,25,22.95,0.3542482116565527,4,0,1.0,24,169
30,'C464042268','6','F','M1823072687','es_transportation',10.91,0,2.477378383367209,24,31,19.45,0.5609251614780661,4,0,1.0,24,168
30,'C2113737065','2','F','M78078399','es_wellnessandbeauty',117.74,1,4.776936228842529,17,17,282.52,0.4167492419386507,7,1,,24,111
30,'C590614528','2','F','M1823072687','es_transportation',8.25,0,2.224623551524334,24,32,29.7,0.2777776842499379,3,0,1.0,24,168
30,'C183270065','0','F','M348934600','es_transportation',18.71,0,2.981126121164629,24,30,22.32,0.8382612731804332,1,0,1.0,24,169
30,'C1214964999','5','F','M1823072687','es_transportation',10.27,0,2.422144328051685,24,28,34.17,0.3005559553538322,3,0,1.0,24,168
30,'C885555910','5','F','M1823072687','es_transportation',36.46,0,3.623273697015942,24,27,27.25,1.337981160373886,2,0,1.0,24,168
30,'C1084672760','2','F','M1823072687','es_transportation',3.87,0,1.583093937094499,24,25,36.54,0.1059113010642307,5,0,1.0,24,168
30,'C121798652','3','F','M1823072687','es_transportation',4.95,0,1.783391219557538,24,25,17.07,0.2899822554292587,4,0,2.0,24,168
30,'C1768220463','4','M','M348934600','es_transportation',17.45,0,2.915064370486536,17,17,26.26,0.664508505518467,2,0,1.0,24,169
30,'C363287468','2','F','M1823072687','es_transportation',34.97,0,3.582685257707532,12,12,29.885,1.170151858741222,5,0,1.0,24,167
30,'C617323407','3','F','M1535107174','es_wellnessandbeauty',2.02,0,1.105256831386778,2,2,3.805,0.5308790252850847,1,0,26.0,24,160
30,'C617323407','3','F','M1198415165','es_wellnessandbeauty',78.31,0,4.373364224095228,3,3,5.59,14.00891948314941,2,1,,24,152
30,'C2091583256','2','F','M1823072687','es_transportation',55.39,0,4.03229183781909,24,29,25.05,2.211176762005285,2,0,1.0,24,167
30,'C825969892','2','M','M1823072687','es_transportation',20.84,0,3.083743150876704,24,30,23.31,0.8940365104948474,6,0,1.0,24,167
30,'C747175090','5','F','M855959430','es_hyper',16.91,0,2.88535921607262,24,29,16.91,0.9999994086342942,4,1,,24,164
30,'C1784864427','5','M','M1823072687','es_transportation',22.55,0,3.159125820462427,24,32,29.495,0.7645361028865562,5,0,1.0,24,167
30,'C1753498738','3','F','M1823072687','es_transportation',19.14,0,3.002707887290416,24,34,24.91,0.7683658095681214,7,0,1.0,24,167
30,'C919751066','2','F','M85975013','es_food',11.62,0,2.535282857113067,24,31,26.27,0.4423294852190768,2,0,9.0,24,163
30,'C1283110336','1','M','M1823072687','es_transportation',29.11,0,3.404857342493643,14,14,25.28,1.151502709057473,7,0,1.0,24,167
30,'C1722987449','3','M','M1823072687','es_transportation',3.29,0,1.456286732939926,24,28,31.245,0.1052968137952268,5,0,1.0,24,167
30,'C1929968596','2','F','M1823072687','es_transportation',13.12,0,2.647592232065096,24,30,27.04,0.4852069211512866,5,0,1.0,24,167
30,'C750572020','5','M','M348934600','es_transportation',37.14,0,3.641263600172273,24,31,27.01,1.375045770068208,5,0,1.0,24,169
30,'C2112631749','2','F','M348934600','es_transportation',17.73,0,2.930126516455997,24,28,21.38,0.829279312778619,3,0,2.0,24,169
30,'C1437990673','2','F','M1823072687','es_transportation',34.3,0,3.563882963939251,24,26,32.405,1.058478303200647,3,0,1.0,24,167
30,'C194301248','2','M','M209847108','es_wellnessandbeauty',16.02,0,2.834389123145228,19,19,27.77,0.5768813190920709,3,0,4.0,24,166
30,'C194301248','2','M','M78078399','es_wellnessandbeauty',31.28,0,3.474447843401748,20,20,29.525,1.059440792738089,4,1,,24,112
30,'C296630818','3','M','M348934600','es_transportation',42.86,0,3.781002742989742,24,27,27.39,1.564804101933515,3,0,1.0,24,168
30,'C949023995','3','M','M1649169323','es_sportsandtoys',71.07,0,4.27763786893635,24,29,24.01,2.960015426899031,3,1,,24,161
30,'C706757729','3','M','M348934600','es_transportation',13.42,0,2.668616131856803,24,25,23.74,0.5652904105769122,4,0,1.0,24,168
30,'C1952109278','1','M','M1823072687','es_transportation',40.53,0,3.726416057642662,24,31,33.75,1.200888533070064,4,0,1.0,24,167
30,'C1821681988','2','F','M1823072687','es_transportation',35.41,0,3.594843462187342,24,30,22.1,1.602261718433611,5,0,1.0,24,167
30,'C1791559714','3','F','M1823072687','es_transportation',58.07,0,4.078723181319144,24,28,21.14,2.746923960773907,5,0,1.0,24,166
30,'C866263389','3','M','M348934600','es_transportation',21.94,0,3.132882111701225,24,25,27.27,0.8045468263487986,5,0,1.0,24,168
30,'C1852091130','3','F','M85975013','es_food',20.34,0,3.060583245873607,24,31,28.05,0.7251334313249799,5,1,,24,163
30,'C1362863442','2','F','M348934600','es_transportation',11.8,0,2.549445170925571,24,24,24.985,0.4722831809953248,2,0,1.0,24,168
30,'C1440811710','5','M','M1823072687','es_transportation',15.95,0,2.830267833826459,22,22,34.33,0.4646080790538656,5,0,1.0,24,165
30,'C1263267362','5','F','M348934600','es_transportation',9.81,0,2.380471631651117,14,14,26.53,0.3697699322390003,4,0,2.0,24,168
30,'C433139335','0','F','M348934600','es_transportation',23.09,0,3.18179681662678,24,27,15.87,1.454945523033697,1,0,2.0,24,168
30,'C1055164842','4','M','M348934600','es_transportation',30.95,0,3.464172180823544,24,26,29.765,1.039811510226269,2,0,1.0,24,168
30,'C1679033854','2','F','M348934600','es_transportation',35.59,0,3.599774979031115,24,30,22.13,1.608223403423677,6,0,1.0,24,168
30,'C190398591','6','M','M1823072687','es_transportation',48.06,0,3.893044038830343,24,32,22.245,2.160484531137545,5,0,1.0,24,165
30,'C719332132','2','F','M348934600','es_transportation',28.87,0,3.396854632228019,24,29,24.39,1.183681351504161,5,0,2.0,24,168
30,'C1407767965','3','F','M1823072687','es_transportation',33.77,0,3.54875494601977,24,27,26.96,1.252595974556389,3,0,1.0,24,165
30,'C1360481565','5','F','M348934600','es_transportation',54.95,0,4.024458434757935,24,30,30.43,1.805783172598366,5,0,1.0,24,168
30,'C98014803','2','F','M480139044','es_health',85.73,0,4.462799844696365,5,5,71.4,1.200700111946763,3,0,22.0,24,149
30,'C98014803','2','F','M692898500','es_health',75.05,0,4.331391018705302,6,6,73.225,1.024923042004364,4,1,,24,148
30,'C515668508','3','F','M348934600','es_transportation',65.18,0,4.192378302493466,24,42,82.08,0.794103217092688,11,0,1.0,24,168
30,'C42779194','6','F','M1823072687','es_transportation',9.64,0,2.364620483913499,24,30,21.04,0.4581746871793312,4,0,1.0,24,165
30,'C1734948367','3','M','M348934600','es_transportation',8.06,0,2.203869120054888,15,15,28.17,0.286119884231493,4,0,2.0,24,168
30,'C1847494890','3','M','M980657600','es_sportsandtoys',67.85,1,4.231930225174664,10,10,56.76000000000001,1.195383862687832,6,1,,24,132
30,'C1684213034','4','M','M348934600','es_transportation',37.44,0,3.649098584102092,20,20,29.355,1.275421129136049,3,0,1.0,24,168
30,'C1085056650','1','F','M980657600','es_sportsandtoys',51.79,1,3.966321778835525,6,6,98.345,0.5266154327504771,5,1,,24,133
30,'C692102449','2','F','M348934600','es_transportation',21.58,0,3.117064558721516,22,22,28.495,0.7573255808648602,2,0,1.0,24,168
30,'C2102316964','2','M','M1823072687','es_transportation',15.53,0,2.805176911832933,24,30,26.08,0.5954752317963069,4,0,1.0,24,165
30,'C1200227736','2','M','M348934600','es_transportation',2.93,0,1.36863942588117,24,26,22.29,0.1314490213328751,2,0,1.0,24,168
30,'C486996910','4','M','M348934600','es_transportation',11.48,0,2.524127362941281,24,24,31.445,0.3650817729108689,2,0,1.0,24,167
30,'C914488986','4','M','M348934600','es_transportation',27.81,0,3.360722549096437,24,27,27.81,0.9999996404172454,3,0,1.0,24,167
30,'C1492110515','2','F','M1823072687','es_transportation',32.87,0,3.52252966682968,24,27,36.63,0.8973516523746511,6,0,1.0,24,165
30,'C1188590334','6','F','M840466850','es_tech',146.43,0,4.993353486861729,24,26,28.305,5.173289110302381,4,1,,24,154
30,'C851871528','1','F','M1823072687','es_transportation',39.64,0,3.704752803270226,24,29,34.15,1.160761007097802,6,0,1.0,24,165
30,'C64700533','3','F','M1946091778','es_wellnessandbeauty',136.67,0,4.924859517074852,24,28,22.19,6.159077891357416,4,1,,24,165
30,'C1848884864','2','F','M348934600','es_transportation',52.05,0,3.971234865059992,24,27,13.23,3.934237389087385,3,0,1.0,24,167
30,'C1654186046','1','M','M85975013','es_food',4.94,0,1.781709133374554,12,12,31.265,0.1580041074671014,5,0,1.0,24,162
30,'C1374607221','U','E','M1823072687','es_transportation',19.81,0,3.035433640405543,24,32,28.125,0.7043553051181137,5,0,1.0,24,165
30,'C377517197','3','F','M348934600','es_transportation',5.17,0,1.819698837917296,24,28,25.785,0.2005040913305832,3,0,2.0,24,167
30,'C767740583','2','F','M348934600','es_transportation',45.28,0,3.834709902325476,24,26,23.84,1.89932806236239,2,0,1.0,24,167
30,'C2060778761','5','F','M348934600','es_transportation',22.73,0,3.166740070447672,24,28,23.015,0.9876163425520997,2,0,1.0,24,167
30,'C585290792','4','M','M1823072687','es_transportation',14.12,0,2.716018370751387,24,29,40.14,0.351768721532456,3,0,1.0,24,165
30,'C1118984324','3','F','M348934600','es_transportation',12.75,0,2.62103882411258,17,17,32.11,0.39707243940441,3,0,1.0,24,167
30,'C998690782','2','M','M1823072687','es_transportation',37.68,0,3.655322670585094,24,31,27.2,1.385293608347938,2,0,1.0,24,166
30,'C901400531','2','F','M1823072687','es_transportation',23.16,0,3.184698373066614,24,30,27.925,0.829364071848139,5,0,1.0,24,166
30,'C1615196201','1','F','M348934600','es_transportation',32.13,0,3.500439216311805,24,28,24.925,1.289066684426606,2,0,1.0,24,167
30,'C1934785516','2','F','M1823072687','es_transportation',41.63,0,3.752558230777119,24,29,18.96,2.195673947429353,2,0,1.0,24,166
30,'C1895811684','4','F','M349281107','es_fashion',79.57,0,4.389126371789104,24,30,27.25,2.91999892844076,2,1,,24,161
30,'C832611882','3','M','M1823072687','es_transportation',34.47,0,3.56868726878553,11,11,33.49,1.029262159073706,4,0,1.0,24,166
30,'C294914134','2','F','M348934600','es_transportation',17.14,0,2.898119444686991,21,21,38.0,0.4510525128809176,9,0,2.0,24,167
30,'C1970738826','4','M','M1823072687','es_transportation',38.38,0,3.67325807321098,24,29,23.99,1.599832596985162,4,0,1.0,24,166
30,'C480961011','3','M','M1823072687','es_transportation',33.12,0,3.529883722623478,24,31,30.73,1.077773811332961,5,0,1.0,24,166
